,unique_id,ds,y,temperature_min,temperature_max,is_weekday
0,Victoria,2015-01-01,99635.03,13.3,26.9,True
1,Victoria,2015-01-02,129606.00999999994,15.4,38.8,True
2,Victoria,2015-01-03,142300.53999999998,20.0,38.2,False
3,Victoria,2015-01-04,104330.715,16.3,21.4,False
4,Victoria,2015-01-05,118132.19999999994,15.0,22.0,True
5,Victoria,2015-01-06,130672.48499999994,17.7,26.0,True
6,Victoria,2015-01-07,153514.82,18.9,37.4,True
7,Victoria,2015-01-08,142015.65500000006,23.1,28.2,True
8,Victoria,2015-01-09,121801.15499999998,16.5,18.0,True
9,Victoria,2015-01-10,103043.66000000005,13.6,21.7,False
10,Victoria,2015-01-11,99865.755,15.6,27.5,False
11,Victoria,2015-01-12,131261.12500000006,16.1,31.3,True
12,Victoria,2015-01-13,126527.35999999994,20.2,25.6,True
13,Victoria,2015-01-14,119741.62,18.3,22.7,True
14,Victoria,2015-01-15,118411.21999999994,15.8,20.0,True
15,Victoria,2015-01-16,116690.76499999994,13.1,27.3,True
16,Victoria,2015-01-17,99371.31,15.9,25.0,False
17,Victoria,2015-01-18,97728.75,15.3,19.5,False
18,Victoria,2015-01-19,116883.14999999998,13.5,23.6,True
19,Victoria,2015-01-20,128968.125,13.0,30.4,True
20,Victoria,2015-01-21,148702.505,19.7,33.1,True
21,Victoria,2015-01-22,153232.1,18.7,35.8,True
22,Victoria,2015-01-23,138095.19999999998,20.2,25.0,True
23,Victoria,2015-01-24,116310.58999999998,15.8,26.3,False
24,Victoria,2015-01-25,97959.46000000004,14.7,22.0,False
25,Victoria,2015-01-26,103769.48000000004,11.6,19.8,True
26,Victoria,2015-01-27,118393.31,11.7,19.1,True
27,Victoria,2015-01-28,116763.72499999998,13.3,25.4,True
28,Victoria,2015-01-29,119313.73,12.8,22.2,True
29,Victoria,2015-01-30,121018.15,13.1,21.0,True
30,Victoria,2015-01-31,103822.97,14.3,20.2,False
31,Victoria,2015-02-01,100178.84,13.2,19.0,False
32,Victoria,2015-02-02,118694.15999999996,13.5,21.1,True
33,Victoria,2015-02-03,122880.13,16.1,20.0,True
34,Victoria,2015-02-04,117398.03000000006,14.8,19.0,True
35,Victoria,2015-02-05,122279.42500000006,13.3,24.2,True
36,Victoria,2015-02-06,141837.005,14.5,35.7,True
37,Victoria,2015-02-07,132138.36500000002,18.8,35.0,False
38,Victoria,2015-02-08,112108.215,18.9,21.5,False
39,Victoria,2015-02-09,126813.07500000006,13.6,28.3,True
40,Victoria,2015-02-10,145948.56499999994,16.4,27.8,True
41,Victoria,2015-02-11,149322.85,18.1,26.8,True
42,Victoria,2015-02-12,131376.78000000006,17.8,21.9,True
43,Victoria,2015-02-13,136070.62,16.1,32.4,True
44,Victoria,2015-02-14,119692.025,19.0,25.1,False
45,Victoria,2015-02-15,125287.70999999998,18.2,34.4,False
46,Victoria,2015-02-16,131832.62999999998,17.4,24.6,True
47,Victoria,2015-02-17,127666.01,17.6,20.6,True
48,Victoria,2015-02-18,125972.765,17.7,21.2,True
49,Victoria,2015-02-19,139399.68999999994,18.2,26.9,True
50,Victoria,2015-02-20,139465.675,17.4,25.3,True
51,Victoria,2015-02-21,136283.03,18.1,36.1,False
52,Victoria,2015-02-22,138016.34999999998,20.3,35.3,False
53,Victoria,2015-02-23,135255.815,21.1,29.3,True
54,Victoria,2015-02-24,120263.51499999994,15.9,20.1,True
55,Victoria,2015-02-25,130062.75499999998,14.0,27.0,True
56,Victoria,2015-02-26,131525.85499999998,16.0,23.2,True
57,Victoria,2015-02-27,131069.4,14.8,24.3,True
58,Victoria,2015-02-28,116275.73,17.9,32.3,False
59,Victoria,2015-03-01,103462.78,15.2,20.8,False
60,Victoria,2015-03-02,123301.835,11.6,23.0,True
61,Victoria,2015-03-03,126750.29,15.5,22.7,True
62,Victoria,2015-03-04,120764.18499999994,15.4,23.5,True
63,Victoria,2015-03-05,114967.345,12.6,18.6,True
64,Victoria,2015-03-06,117053.75,14.1,21.1,True
65,Victoria,2015-03-07,108344.575,15.4,22.6,False
66,Victoria,2015-03-08,106348.78000000004,16.2,24.4,False
67,Victoria,2015-03-09,108282.48,14.4,23.8,True
68,Victoria,2015-03-10,125828.53,16.2,21.7,True
69,Victoria,2015-03-11,124418.41500000002,11.2,23.8,True
70,Victoria,2015-03-12,121683.65000000002,13.0,19.9,True
71,Victoria,2015-03-13,120929.81500000002,14.4,20.4,True
72,Victoria,2015-03-14,108738.82,9.4,30.1,False
73,Victoria,2015-03-15,100170.29500000004,13.1,18.3,False
74,Victoria,2015-03-16,123787.075,10.5,25.5,True
75,Victoria,2015-03-17,125600.86,13.0,26.2,True
76,Victoria,2015-03-18,127975.815,17.8,24.4,True
